Ticker,Title,Publisher,Link,Date
NVDA,"Walmart Is Up 72% in 2024, but Is the Dow Dividend Stock a Buy at an All-Time High?",Motley Fool,https://finance.yahoo.com/m/634f9f07-950f-3465-b518-52bde3f4139d/walmart-is-up-72%25-in-2024%2C.html,2024-11-27 09:30:00
NVDA,Hong Kong's AI efforts connect China and rest of the world amid geopolitical tensions,South China Morning Post,https://finance.yahoo.com/news/hong-kongs-ai-efforts-connect-093000272.html,2024-11-27 09:30:00
AMZN,"The Smartest Growth Stock to Buy With $3,000 Right Now",Motley Fool,https://finance.yahoo.com/m/c2ef5041-34a3-3c0e-9d88-5eb46ea08ac1/the-smartest-growth-stock-to.html,2024-11-27 09:28:00
NVDA,"This Unstoppable ETF Soared 794% Over the Last 10 Years. Here's How It Could Turn $250,000 Into $1 Million Over the Next Decade (or Less).",Motley Fool,https://finance.yahoo.com/m/dd7fbde1-aa3b-3416-8a1f-378650db4aad/this-unstoppable-etf-soared.html,2024-11-27 09:26:00
MSFT,"A Once-in-a-Generation Opportunity: 2 Artificial Intelligence (AI) Stocks That Are Screaming Buys, According to Wall Street",Motley Fool,https://finance.yahoo.com/m/5b8cd457-7ca4-363c-ab67-e1a66827a1f5/a-once-in-a-generation.html,2024-11-27 09:25:00
NVDA,SK Hynix Hikes Dividend Payout to $2.1 Billion as AI Lead Widens,Bloomberg,https://finance.yahoo.com/news/sk-hynix-hikes-dividend-payout-082754502.html,2024-11-27 08:27:54
AAPL,"Foreign smartphone sales in China drop 44.25% y/y in Oct, data shows",Reuters,https://finance.yahoo.com/news/foreign-smartphone-sales-china-drop-075214575.html,2024-11-27 07:52:14
TSLA,Lidar Maker Hesai Sees Device Becoming as Common as Airbags,Bloomberg,https://finance.yahoo.com/news/lidar-maker-hesai-sees-technology-023504385.html,2024-11-27 07:38:33
AAPL,"The Zacks Analyst Blog Apple, Meta, The Procter &  Gamble and Genie Energy",Zacks,https://finance.yahoo.com/news/zacks-analyst-blog-apple-meta-073300989.html,2024-11-27 07:33:00
AAPL,Roblox is offering 25% more of its in-game currency for purchases on its website,TechCrunch,https://finance.yahoo.com/m/33f1d7d3-c0d3-3806-9ec3-e175593b9e1f/roblox-is-offering-25%25-more.html,2024-11-27 06:55:29
TSLA,"After fast start, electric cars need a recharge as range limits, cost leave some drivers skeptical",Associated Press Finance,https://finance.yahoo.com/news/fast-start-electric-cars-recharge-065307222.html,2024-11-27 06:53:07
TSLA,"Zacks Investment Ideas feature highlights: Nvidia's, Coinbase, Tesla and Astera Labs",Zacks,https://finance.yahoo.com/news/zacks-investment-ideas-feature-highlights-062200807.html,2024-11-27 06:22:00
MSFT,BIAN unveils new developer tools for banking,Retail Banker International,https://finance.yahoo.com/m/0a86ccc0-e4c8-3bc6-acf8-e396bbaf50ea/bian-unveils-new-developer.html,2024-11-27 06:12:05
AAPL,"Apple misses out on big 2024 smartphone market rebound, IDC says",Bloomberg,https://finance.yahoo.com/news/apple-misses-big-2024-smartphone-055936413.html,2024-11-27 05:59:36
MSFT,"OpenAI allows employees to sell $1.5 billion stock to SoftBank, sources say",Reuters,https://finance.yahoo.com/news/openai-allows-employees-sell-1-052751439.html,2024-11-27 05:27:51
TSLA,Rivian Catalysts Fluctuate the Stock Price Amid Expansion and Strategic Moves,GuruFocus.com,https://finance.yahoo.com/news/rivian-catalysts-fluctuate-stock-price-040918501.html,2024-11-27 04:09:18
AAPL,Dow Jones Futures: S&P 500 Hits Highs As Bitcoin Skids; CrowdStrike Leads Movers Late,Investor's Business Daily,https://finance.yahoo.com/m/ee883c23-35ad-3664-b2af-1ec27dc7e7c4/dow-jones-futures%3A-s%26p-500.html,2024-11-27 03:52:44
JPM,S.F. Holding Shares Rise in Hong Kong Trading Debut,The Wall Street Journal,https://finance.yahoo.com/m/de17b10b-6f2e-3218-a9d1-4bac6cb225f9/s.f.-holding-shares-rise-in.html,2024-11-27 03:17:00
GOOGL,Google to test plain 'blue link' results for hotel searches in EU markets in latest DMA twist,TechCrunch,https://finance.yahoo.com/m/8b3fc68f-b844-322f-a64b-39b0b58477a6/google-to-test-plain-%27blue.html,2024-11-27 02:14:11
AAPL,3 Warren Buffett Stocks to Hold Forever,Motley Fool,https://finance.yahoo.com/m/1b88bfe1-f92e-32ca-bd2b-f52e843f69a8/3-warren-buffett-stocks-to.html,2024-11-27 01:45:32
AMZN,Amazon.com (AMZN) Invests $4B in Anthropic: A Strategic Move to Challenge NVIDIA in AI,Insider Monkey,https://finance.yahoo.com/news/amazon-com-amzn-invests-4b-010527276.html,2024-11-27 01:05:27
META,"Dan Niles Bullish on Meta Platforms (META) After Earnings, Says Guidance Was Conservative",Insider Monkey,https://finance.yahoo.com/news/dan-niles-bullish-meta-platforms-010520126.html,2024-11-27 01:05:20
TSLA,Political fever over EVs has Tesla expert buzzing with confidence,TheStreet,https://finance.yahoo.com/m/8f0f51e7-67c0-34d0-ab8c-b299ba931c8b/political-fever-over-evs-has.html,2024-11-27 00:03:00
AMZN,"Amazon workers plan global protests on Black Friday, Cyber Monday",FreightWaves,https://finance.yahoo.com/news/amazon-workers-plan-global-protests-235613916.html,2024-11-26 23:56:13
MSFT,Seeking Exposure to Nuclear Stocks? 2 Companies Worth a Look,Zacks,https://finance.yahoo.com/news/seeking-exposure-nuclear-stocks-2-235000602.html,2024-11-26 23:50:00
