Ticker,Title,Publisher,Link,Date
NVDA,"Walmart Is Up 72% in 2024, but Is the Dow Dividend Stock a Buy at an All-Time High?",Motley Fool,https://finance.yahoo.com/m/634f9f07-950f-3465-b518-52bde3f4139d/walmart-is-up-72%25-in-2024%2C.html,2024-11-27
NVDA,Hong Kong's AI efforts connect China and rest of the world amid geopolitical tensions,South China Morning Post,https://finance.yahoo.com/news/hong-kongs-ai-efforts-connect-093000272.html,2024-11-27
AMZN,"The Smartest Growth Stock to Buy With $3,000 Right Now",Motley Fool,https://finance.yahoo.com/m/c2ef5041-34a3-3c0e-9d88-5eb46ea08ac1/the-smartest-growth-stock-to.html,2024-11-27
NVDA,"This Unstoppable ETF Soared 794% Over the Last 10 Years. Here's How It Could Turn $250,000 Into $1 Million Over the Next Decade (or Less).",Motley Fool,https://finance.yahoo.com/m/dd7fbde1-aa3b-3416-8a1f-378650db4aad/this-unstoppable-etf-soared.html,2024-11-27
MSFT,"A Once-in-a-Generation Opportunity: 2 Artificial Intelligence (AI) Stocks That Are Screaming Buys, According to Wall Street",Motley Fool,https://finance.yahoo.com/m/5b8cd457-7ca4-363c-ab67-e1a66827a1f5/a-once-in-a-generation.html,2024-11-27
NVDA,SK Hynix Hikes Dividend Payout to $2.1 Billion as AI Lead Widens,Bloomberg,https://finance.yahoo.com/news/sk-hynix-hikes-dividend-payout-082754502.html,2024-11-27
AAPL,"Foreign smartphone sales in China drop 44.25% y/y in Oct, data shows",Reuters,https://finance.yahoo.com/news/foreign-smartphone-sales-china-drop-075214575.html,2024-11-27
TSLA,Lidar Maker Hesai Sees Device Becoming as Common as Airbags,Bloomberg,https://finance.yahoo.com/news/lidar-maker-hesai-sees-technology-023504385.html,2024-11-27
AAPL,"The Zacks Analyst Blog Apple, Meta, The Procter &  Gamble and Genie Energy",Zacks,https://finance.yahoo.com/news/zacks-analyst-blog-apple-meta-073300989.html,2024-11-27
AAPL,Roblox is offering 25% more of its in-game currency for purchases on its website,TechCrunch,https://finance.yahoo.com/m/33f1d7d3-c0d3-3806-9ec3-e175593b9e1f/roblox-is-offering-25%25-more.html,2024-11-27
TSLA,"After fast start, electric cars need a recharge as range limits, cost leave some drivers skeptical",Associated Press Finance,https://finance.yahoo.com/news/fast-start-electric-cars-recharge-065307222.html,2024-11-27
TSLA,"Zacks Investment Ideas feature highlights: Nvidia's, Coinbase, Tesla and Astera Labs",Zacks,https://finance.yahoo.com/news/zacks-investment-ideas-feature-highlights-062200807.html,2024-11-27
MSFT,BIAN unveils new developer tools for banking,Retail Banker International,https://finance.yahoo.com/m/0a86ccc0-e4c8-3bc6-acf8-e396bbaf50ea/bian-unveils-new-developer.html,2024-11-27
AAPL,"Apple misses out on big 2024 smartphone market rebound, IDC says",Bloomberg,https://finance.yahoo.com/news/apple-misses-big-2024-smartphone-055936413.html,2024-11-27
MSFT,"OpenAI allows employees to sell $1.5 billion stock to SoftBank, sources say",Reuters,https://finance.yahoo.com/news/openai-allows-employees-sell-1-052751439.html,2024-11-27
TSLA,Rivian Catalysts Fluctuate the Stock Price Amid Expansion and Strategic Moves,GuruFocus.com,https://finance.yahoo.com/news/rivian-catalysts-fluctuate-stock-price-040918501.html,2024-11-27
AAPL,Dow Jones Futures: S&P 500 Hits Highs As Bitcoin Skids; CrowdStrike Leads Movers Late,Investor's Business Daily,https://finance.yahoo.com/m/ee883c23-35ad-3664-b2af-1ec27dc7e7c4/dow-jones-futures%3A-s%26p-500.html,2024-11-27
JPM,S.F. Holding Shares Rise in Hong Kong Trading Debut,The Wall Street Journal,https://finance.yahoo.com/m/de17b10b-6f2e-3218-a9d1-4bac6cb225f9/s.f.-holding-shares-rise-in.html,2024-11-27
GOOGL,Google to test plain 'blue link' results for hotel searches in EU markets in latest DMA twist,TechCrunch,https://finance.yahoo.com/m/8b3fc68f-b844-322f-a64b-39b0b58477a6/google-to-test-plain-%27blue.html,2024-11-27
AAPL,3 Warren Buffett Stocks to Hold Forever,Motley Fool,https://finance.yahoo.com/m/1b88bfe1-f92e-32ca-bd2b-f52e843f69a8/3-warren-buffett-stocks-to.html,2024-11-27
AMZN,Amazon.com (AMZN) Invests $4B in Anthropic: A Strategic Move to Challenge NVIDIA in AI,Insider Monkey,https://finance.yahoo.com/news/amazon-com-amzn-invests-4b-010527276.html,2024-11-27
META,"Dan Niles Bullish on Meta Platforms (META) After Earnings, Says Guidance Was Conservative",Insider Monkey,https://finance.yahoo.com/news/dan-niles-bullish-meta-platforms-010520126.html,2024-11-27
TSLA,Political fever over EVs has Tesla expert buzzing with confidence,TheStreet,https://finance.yahoo.com/m/8f0f51e7-67c0-34d0-ab8c-b299ba931c8b/political-fever-over-evs-has.html,2024-11-27
AMZN,"Amazon workers plan global protests on Black Friday, Cyber Monday",FreightWaves,https://finance.yahoo.com/news/amazon-workers-plan-global-protests-235613916.html,2024-11-26
MSFT,Seeking Exposure to Nuclear Stocks? 2 Companies Worth a Look,Zacks,https://finance.yahoo.com/news/seeking-exposure-nuclear-stocks-2-235000602.html,2024-11-26
MSFT,Microsoft’s massive Outlook and Teams outage resolves after more than a day,CNN Business,https://finance.yahoo.com/m/248483a9-7b19-3b42-9e89-4827c255fc92/microsoft%E2%80%99s-massive-outlook.html,2024-11-26
AAPL,"HP earnings in line with expectations, CEO says tariffs would hit the consumer",Yahoo Finance,https://finance.yahoo.com/news/hp-earnings-in-line-with-expectations-ceo-says-tariffs-would-hit-the-consumer-230156921.html,2024-11-26
AMZN,Will Labor Activists ‘Make Amazon Pay’ This Black Friday?,Sourcing Journal,https://finance.yahoo.com/m/b12ad173-cfbe-3011-930d-c7199fd27339/will-labor-activists-%E2%80%98make.html,2024-11-26
META,Update: Meta Platforms Threads Reportedly Major Beneficiary of Recent Exodus by Former X Users,MT Newswires,https://finance.yahoo.com/news/meta-platforms-threads-reportedly-major-225032326.html,2024-11-26
AMZN,"2 Stocks Set to Benefit from a Busy Holiday Season: WMT, AMZN",Zacks,https://finance.yahoo.com/news/2-stocks-set-benefit-busy-223700654.html,2024-11-26
GOOGL,Google Proposes New Search Changes in Europe,The Information,https://finance.yahoo.com/m/a5d32b15-720f-3005-9eb8-45be8620ec2d/google-proposes-new-search.html,2024-11-26
TSLA,How California Could Exclude Tesla From EV Credits—and Why It Won’t Work,Barrons.com,https://finance.yahoo.com/m/60ccbcc6-79cd-348a-b3e0-0b4a321e9645/how-california-could-exclude.html,2024-11-26
MSFT,OpenAI’s Sora video tool was leaked by a group of artists to protest ‘corporate AI overlords’,Fortune,https://finance.yahoo.com/news/group-artists-just-leaked-access-220011584.html,2024-11-26
TSLA,2025 Could Be Horrendous for Car Sales. It’s a Huge Test for EVs.,Barrons.com,https://finance.yahoo.com/m/a5404248-dad7-3f77-8206-6ec483f49011/2025-could-be-horrendous-for.html,2024-11-26
AMZN,AWS re:Invent 2024: What to expect and how to watch Amazon's biggest event of the year,TechCrunch,https://finance.yahoo.com/m/49370115-b5bb-375f-b690-5a33a11d49e7/aws-re%3Ainvent-2024%3A-what-to.html,2024-11-26
MSFT,Microsoft Corp (MSFT) and LTIMindtree Partner to Accelerate AI Transformation,Insider Monkey,https://finance.yahoo.com/news/microsoft-corp-msft-ltimindtree-partner-210703572.html,2024-11-26
GOOGL,Alphabet Inc (GOOG) Unveils AlphaQubit: AI Breakthrough in Quantum Computing,Insider Monkey,https://finance.yahoo.com/news/alphabet-inc-goog-unveils-alphaqubit-210652587.html,2024-11-26
TSLA,Rivian wins preliminary approval for $6.6B federal loan for Georgia EV plant,Yahoo Finance,https://finance.yahoo.com/news/rivian-wins-preliminary-approval-for-66b-federal-loan-for-georgia-ev-plant-153426013.html,2024-11-26
META,Meta Platforms (META): Transforming Louisiana with a $5 Billion AI Data Center,Insider Monkey,https://finance.yahoo.com/news/meta-platforms-meta-transforming-louisiana-210256705.html,2024-11-26
META,Meta Platforms Threads Reportedly Major Beneficiary of Recent Exodus by Former X Users,MT Newswires,https://finance.yahoo.com/news/meta-platforms-threads-reportedly-major-210104292.html,2024-11-26
AAPL,Market Chatter: Apple Faces Regulatory Hurdles to Launch In-House AI Models in China,MT Newswires,https://finance.yahoo.com/news/market-chatter-apple-faces-regulatory-202615432.html,2024-11-26
JPM,Deutsche Bank Sees Bank Stock Rally Adding to Repo Market Strain,Bloomberg,https://finance.yahoo.com/news/deutsche-bank-sees-bank-stock-200509086.html,2024-11-26
JNJ,Merck Stock Up as Winrevair Meets Goal in Advanced PAH Study,Zacks,https://finance.yahoo.com/news/merck-stock-winrevair-meets-goal-200000709.html,2024-11-26
JPM,It's a small world: Why payment companies are targeting SMBs,American Banker,https://finance.yahoo.com/m/1b46e553-d845-3e13-a8c6-0a86b01b14c4/it%27s-a-small-world%3A-why.html,2024-11-26
META,Magnificent Seven Stocks: Nvidia Stock Rebounds From Key Level; Apple Nears New Buy Point,Investor's Business Daily,https://finance.yahoo.com/m/4205eaa9-f620-3a0b-a81a-0e82c7c9fd0b/magnificent-seven-stocks%3A.html,2024-11-26
PG,"Top Analyst Reports for Apple, Meta and Procter & Gamble",Zacks,https://finance.yahoo.com/news/top-analyst-reports-apple-meta-184000683.html,2024-11-26
GOOGL,US judge will not delay Google search trial for DOJ switch to Trump administration,Reuters,https://finance.yahoo.com/news/us-google-search-antitrust-trial-180226867.html,2024-11-26
JPM,This strategist is shifting from tech to financials: Here's why,Yahoo Finance Video,https://finance.yahoo.com/video/strategist-shifting-tech-financials-heres-175607945.html,2024-11-26
JPM,"Wall Street banks get a lift from trading Israeli currency, bonds",Reuters,https://finance.yahoo.com/news/wall-street-banks-lift-trading-174418333.html,2024-11-26
GOOGL,Economy at risk without tech innovation: Investor,Yahoo Finance Video,https://finance.yahoo.com/video/economy-risk-without-tech-innovation-173221125.html,2024-11-26
META,Meta's Day in Court: The Trial That Could Rewrite Big Tech's Playbook,GuruFocus.com,https://finance.yahoo.com/news/metas-day-court-trial-could-171916283.html,2024-11-26
JNJ,How To Put $100 In Your Retirement Fund Each Month With Johnson & Johnson,Benzinga,https://finance.yahoo.com/news/put-100-retirement-fund-month-170012288.html,2024-11-26
META,"Zoom Q3 Earnings Beat, Enterprise Customers Drive Revenues",Zacks,https://finance.yahoo.com/news/zoom-q3-earnings-beat-enterprise-161000506.html,2024-11-26
JPM,Sector Update: Financial Stocks Steady Premarket Tuesday,MT Newswires,https://finance.yahoo.com/news/sector-financial-stocks-steady-premarket-142105887.html,2024-11-26
PG,"P&G to Webcast Presentation From the Morgan Stanley Global Consumer & Retail Conference, December 3",Business Wire,https://finance.yahoo.com/news/p-g-webcast-presentation-morgan-141500286.html,2024-11-26
